   INFO 2018-01-08 18:40:29.000000 [     2 ] Gear connection disconnected
   INFO 2018-01-08 18:40:34.000000 [  main ] Accepted connection from 192.168.122.89:54198
   INFO 2018-01-08 18:40:34.000000 [     3 ] Gear connection made
   INFO 2018-01-08 18:40:34.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:34.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:34.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:34.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:37.000000 [  main ] Accepted connection from 192.168.122.89:54200
   INFO 2018-01-08 18:40:37.000000 [     2 ] Gear connection made
   INFO 2018-01-08 18:40:37.000000 [     2 ] Gear unpack
 NOTICE 2018-01-08 18:40:37.000000 [  proc ] accepted,reverse,,0 -> libgearman-server/server.cc:301
   INFO 2018-01-08 18:40:37.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:37.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:37.000000 [     2 ] Peer connection has called close() 192.168.122.89:54200
   INFO 2018-01-08 18:40:37.000000 [     2 ] Disconnected 192.168.122.89:54200
   INFO 2018-01-08 18:40:37.000000 [     2 ] Gear connection disconnected
   INFO 2018-01-08 18:40:37.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:37.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:41.000000 [  main ] Accepted connection from 192.168.122.89:54202
   INFO 2018-01-08 18:40:41.000000 [     1 ] Gear connection made
   INFO 2018-01-08 18:40:41.000000 [     1 ] Gear unpack
 NOTICE 2018-01-08 18:40:41.000000 [  proc ] accepted,reverse,,0 -> libgearman-server/server.cc:301
   INFO 2018-01-08 18:40:41.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:41.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:41.000000 [     1 ] Peer connection has called close() 192.168.122.89:54202
   INFO 2018-01-08 18:40:41.000000 [     1 ] Disconnected 192.168.122.89:54202
   INFO 2018-01-08 18:40:41.000000 [     1 ] Gear connection disconnected
   INFO 2018-01-08 18:40:41.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:41.000000 [     3 ] Gear unpack
   INFO 2018-01-08 18:40:51.000000 [  main ] Accepted connection from 192.168.122.89:54216
   INFO 2018-01-08 18:40:51.000000 [     4 ] Gear connection made
